seed,model,train_acc,test_acc,acc_gap,teacher_student_gap,distillation_gain
0,Teacher,98.30499999999999,98.17,0.1349999999999909,,
0,Scratch,82.245,82.16,0.08500000000000796,,
0,KD,92.09666666666666,92.36,-0.2633333333333354,5.810000000000002,10.200000000000003
0,RKD,95.32666666666667,95.50999999999999,-0.1833333333333229,2.660000000000011,13.349999999999994
1,Teacher,96.505,96.61999999999999,-0.11499999999999488,,
1,Scratch,91.50500000000001,91.95,-0.4449999999999932,,
1,KD,36.931666666666665,35.58,1.3516666666666666,61.03999999999999,-56.370000000000005
1,RKD,92.76333333333334,93.05,-0.28666666666666174,3.569999999999993,1.0999999999999943
2,Teacher,97.14333333333333,97.32,-0.1766666666666623,,
2,Scratch,94.10833333333333,94.86,-0.7516666666666652,,
2,KD,94.75833333333334,94.78,-0.021666666666661172,2.539999999999992,-0.0799999999999983
2,RKD,93.875,93.67999999999999,0.1950000000000074,3.6400000000000006,-1.1800000000000068
3,Teacher,98.67166666666667,98.36,0.3116666666666674,,
3,Scratch,38.93666666666667,37.97,0.9666666666666686,,
3,KD,90.44166666666666,90.28,0.16166666666666174,8.079999999999998,52.31
3,RKD,94.53833333333334,94.41000000000001,0.1283333333333303,3.9499999999999886,56.44000000000001
4,Teacher,98.09833333333333,97.78999999999999,0.3083333333333371,,
4,Scratch,83.94500000000001,83.94,0.005000000000009663,,
4,KD,95.10666666666665,95.11,-0.0033333333333445125,2.6799999999999926,11.170000000000002
4,RKD,90.69666666666667,90.83,-0.13333333333332575,6.959999999999994,6.890000000000001
